Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Guam,0%,0%,0%,0%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,4%,4%,4%,4%
Saint Vincent and the Grenadines,-0.4%,-0.4%,-0.4%,-0.4%,1%,1%,6.1%,6.1%,0.8%,1.5%,5.1%,2.6%,2.8%,2.8%,2.8%
Barbados,3.5%,-0.6%,-0.5%,-0.5%,-0.5%,-0.5%,5.5%,5.5%,5.5%,5.4%,6.1%,4.8%,2.1%,2.1%,2.1%
Niger,4.2%,3%,3%,3%,0.2%,0.2%,0.1%,0.1%,0.1%,0.8%,3.9%,0.5%,1.9%,1.9%,1.9%
Belarus,46.1%,42.8%,28.2%,17.4%,10.3%,7%,8.4%,14.8%,7%,7.8%,70%,59.1%,19%,19%,19%
Afghanistan,NA,NA,5.2%,10.3%,16.3%,16.3%,13%,13%,13.3%,0.9%,13.8%,6.8%,6.8%,6.8%,6.8%
Pitcairn Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puerto Rico,5.7%,5%,6.5%,6.5%,6.5%,6.5%,6.5%,6.5%,6.5%,2.5%,1.2%,2.6%,0.9%,0.9%,0.9%
Saint Lucia,3%,3%,3%,3%,2.9%,2.9%,1.9%,1.9%,1.9%,1.8%,4.4%,4.2%,5.3%,5.3%,5.3%
Trinidad and Tobago,5.6%,4.3%,3.8%,3.3%,6.9%,8.3%,7.9%,12%,11.3%,10.5%,8.7%,9.2%,5.4%,5.4%,5.4%
Vanuatu,2.5%,3.2%,2%,3.1%,-1.6%,-1.6%,3.9%,3.9%,3.9%,2.8%,2.8%,1.4%,1.9%,1.9%,1.9%
Swaziland,7.5%,11.8%,7.3%,5.4%,4%,5.7%,8.1%,13.4%,5%,4.5%,8.4%,8.9%,6.1%,6.1%,6.1%
Senegal,3.3%,3%,0%,0.8%,1.7%,2.1%,5.9%,5.8%,1.2%,1.2%,1.5%,1.4%,0.8%,0.8%,0.8%
"Congo, Democratic Republic of the",358%,16%,14%,14%,9%,18.2%,16.7%,16.7%,26.2%,23.1%,13.8%,9.5%,7.1%,7.1%,7.1%
Algeria,3%,3%,3.5%,3.1%,1.9%,2.6%,3.5%,4.4%,5%,3.9%,8.5%,8.9%,3.9%,3.9%,3.9%
Argentina,4%,41%,13.4%,6.1%,9.6%,10.9%,8.8%,8.6%,22%,22%,25%,25.3%,20.8%,20.8%,20.8%
Liberia,8%,15%,15%,15%,15%,15%,11.2%,11.2%,11.2%,7.3%,5.5%,6.8%,5.2%,5.2%,5.2%
Marshall Islands,1.9%,2%,2%,2%,3%,3%,3%,12.9%,12.9%,12.9%,12.9%,12.9%,12.9%,12.9%,12.9%
Falkland Islands (Islas Malvinas),3.6%,3.6%,3.6%,3.6%,3.6%,3.6%,3.6%,3.6%,3.6%,3.6%,1.2%,1.2%,1.2%,1.2%,1.2%
Guinea,6%,6%,14.8%,18%,25%,30%,23.4%,15%,15%,20%,15%,15.2%,11.9%,11.9%,11.9%
Kiribati,2.5%,2.5%,2.5%,2.5%,0.5%,0.5%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%
Suriname,59%,17%,17%,23%,9.5%,9.5%,6.4%,6.4%,6.4%,6.9%,6%,5%,4.2%,4.2%,4.2%
Virgin Islands,NA,2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,7%,7.4%,8%,7.5%,15%,10.8%,10.3%,9.2%,8.1%,9.2%,9.2%,6.4%,8.8%,8.8%,8.8%
Cocos (Keeling) Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,1.6%,1.6%,2%,2.4%,2.5%,2.7%,2.3%,3.4%,2.1%,2.3%,2.6%,2.7%,1.8%,1.8%,1.8%
Malta,2.4%,2.4%,0.4%,2.9%,3%,2.8%,1.3%,4.3%,1.7%,1.5%,2.5%,2.4%,1%,1%,1%
Iraq,60%,70%,29.3%,25.4%,33%,53.2%,4.7%,2.8%,4.2%,2.4%,6.4%,6.1%,2%,2%,2%
United Kingdom,2.1%,2.1%,1.4%,1.4%,2.1%,2.3%,2.3%,3.6%,3.3%,3.3%,2.8%,2.8%,2%,2%,2%
Curacao,NA,NA,NA,NA,NA,NA,NA,NA,1.7%,3%,2.3%,2.3%,3.2%,3.2%,3.2%
Libya,13.6%,1%,2.8%,2.9%,3.4%,2.7%,6.3%,10.4%,3%,2.5%,3.6%,6.1%,3.2%,3.2%,3.2%
Maldives,3%,1%,1%,1%,6%,6%,5%,12.8%,7.3%,6%,12.8%,5.1%,5.1%,5.1%,5.1%
Venezuela,12.3%,31.2%,31.1%,22.4%,16%,13.7%,18.7%,30.4%,29.8%,28.2%,20.9%,21.1%,56.2%,56.2%,56.2%
Hong Kong,-1.6%,3%,-2.6%,-0.3%,0.9%,2%,2%,4.3%,2.2%,2.3%,3.7%,4.1%,4.4%,4.4%,4.4%
Mauritius,4.2%,6.4%,4.2%,4.5%,5%,8.9%,8.8%,9.7%,2.9%,2.9%,4.7%,3.9%,3.5%,3.5%,3.5%
Belgium,1.7%,1.7%,1.6%,1.9%,2.8%,1.8%,1.8%,4.5%,2.3%,2.3%,2.4%,2.6%,1.3%,1.3%,1.3%
Gibraltar,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,2.9%,2.9%,2.6%,2.8%,2.8%,2.8%,2.8%,2.8%,2.8%
Estonia,3.7%,3.7%,1.3%,3%,4.1%,4.4%,6.6%,10.4%,2.4%,3%,3.3%,3.9%,3.4%,3.4%,3.4%
British Virgin Islands,3.3%,2.5%,2.5%,2.5%,2%,2%,2%,2%,7.1%,3.8%,4%,2.2%,1.6%,1.6%,1.6%
France,1.8%,1.8%,2.1%,2.3%,1.7%,1.7%,1.5%,2.8%,1.5%,1.7%,2.3%,2.2%,0.9%,0.9%,0.9%
Lesotho,6.9%,10%,6.1%,5.3%,4.7%,6.1%,8%,10.7%,6.1%,3.6%,6.1%,6.1%,5%,5%,5%
Mauritania,4.4%,3%,7%,7%,7%,7%,7.3%,7.3%,7.3%,6.3%,7%,4.9%,4.6%,4.6%,4.6%
Sao Tome and Principe,7%,9%,9%,14%,15.2%,23.1%,18%,26%,13%,14.4%,10.2%,10.6%,8.7%,8.7%,8.7%
Slovakia,3.3%,3.3%,8.6%,7.5%,2.7%,4.5%,2.8%,4.6%,1.2%,1%,3.6%,3.6%,1.7%,1.7%,1.7%
"Korea, South",2.8%,2.8%,3.6%,3.6%,2.8%,2.2%,2.5%,4.7%,3%,3%,2.2%,2.2%,1.1%,1.1%,1.1%
European Union,NA,NA,2%,2.1%,2.2%,1.8%,1.8%,3.5%,1.7%,1.9%,2.6%,2.6%,1.5%,1.5%,1.5%
Namibia,8.8%,8%,7.3%,4.2%,2.3%,5.1%,6.7%,10.3%,4.6%,4.5%,5.8%,6.5%,5.5%,5.5%,5.5%
Kosovo,NA,NA,NA,NA,NA,NA,2%,5.3%,5.3%,3.5%,8.3%,8.3%,1.8%,1.8%,1.8%
Australia,2.8%,2.8%,2.8%,2.3%,2.7%,3.5%,2.3%,4.4%,2.9%,2.8%,2.1%,1.8%,2.4%,2.4%,2.4%
Burundi,14%,12%,10.7%,8.5%,16%,2.8%,8.3%,24.1%,7.2%,6.4%,16%,18%,9.3%,9.3%,9.3%
Bhutan,7%,3%,3%,3%,7%,5.5%,4.9%,4.9%,4.3%,7.1%,8.3%,10.9%,11%,11%,11%
Iceland,5%,5.2%,2.1%,4%,4%,6.7%,5.1%,12.7%,5.5%,5.4%,5.3%,5.2%,3.9%,3.9%,3.9%
Oman,1%,-0.5%,-0.3%,0.2%,1.2%,3.2%,5.9%,12.5%,4%,3.2%,3.5%,2.9%,1.6%,1.6%,1.6%
Saudi Arabia,1.7%,1%,0.5%,0.8%,0.4%,2.2%,4.1%,9.9%,5.7%,5.4%,4.6%,2.9%,3.7%,3.7%,3.7%
Ukraine,12%,-1.2%,5.2%,12%,13.5%,9.1%,12.8%,25.2%,9.8%,9.4%,2%,0.6%,0.7%,0.7%,0.7%
Colombia,7.6%,6.2%,7.1%,5.9%,5%,4.3%,5.5%,7%,2.6%,2.3%,3.2%,3.2%,2.2%,2.2%,2.2%
Croatia,4%,2.2%,1.8%,2.5%,3.3%,3.2%,4.5%,6.1%,1.3%,1.1%,2.9%,3.4%,2.2%,2.2%,2.2%
China,-0.8%,-0.8%,1.2%,4.1%,1.8%,1.7%,4.8%,5.9%,5%,3.2%,3.1%,2.6%,2.6%,2.6%,2.6%
Uganda,3.5%,0.1%,7.9%,3.5%,8.1%,6.6%,6.1%,12.1%,9.4%,4%,14.7%,14%,6.2%,6.2%,6.2%
