Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Djibouti,46.2%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%
Haiti,45.0%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,48.7%,48.7%,48.7%,48.7%
Iraq,58.0%,40.4%,40.4%,40.4%,40.4%,74.1%,74.1%,74.1%,74.1%,74.1%,78.2%,78.5%,78.5%,78.5%,78.5%
Swaziland,78.3%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,81.6%,87.8%,87.8%,87.8%,87.8%
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,48.5%,50.9%,50.9%,50.9%,50.9%,50.9%,48.7%,48.7%,48.7%,48.7%,56.2%,56.9%,56.9%,56.9%,56.9%
Ghana,64.5%,74.8%,74.8%,74.8%,74.8%,57.9%,57.9%,57.9%,57.9%,57.9%,67.3%,71.5%,71.5%,71.5%,71.5%
Monaco,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Burkina Faso,36.0%,26.6%,26.6%,26.6%,26.6%,21.8%,21.8%,21.8%,21.8%,21.8%,21.8%,28.7%,28.7%,28.7%,28.7%
Comoros,57.3%,56.5%,56.5%,56.5%,56.5%,56.5%,56.5%,56.5%,56.5%,56.5%,74.9%,75.5%,75.5%,75.5%,75.5%
Syria,70.8%,76.9%,76.9%,76.9%,76.9%,79.6%,79.6%,79.6%,79.6%,79.6%,79.6%,84.1%,84.1%,84.1%,84.1%
Serbia,NA,NA,NA,NA,96.4%,96.4%,96.4%,96.4%,96.4%,96.4%,97.9%,98.0%,98.0%,98.0%,98.0%
New Caledonia,91.0%,91.0%,91.0%,91.0%,91.0%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%
Timor-Leste,NA,NA,NA,NA,NA,58.6%,58.6%,58.6%,58.6%,58.6%,58.6%,58.3%,58.3%,58.3%,58.3%
Yemen,38.0%,50.2%,50.2%,50.2%,50.2%,50.2%,50.2%,50.2%,50.2%,50.2%,63.9%,65.3%,65.3%,65.3%,65.3%
Australia,100.0%,100.0%,100.0%,100.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Martinique,93.0%,97.7%,97.7%,97.7%,97.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad,40.0%,47.5%,47.5%,47.5%,47.5%,47.5%,25.7%,25.7%,25.7%,25.7%,34.5%,35.4%,35.4%,35.4%,35.4%
Saint Vincent and the Grenadines,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
Nicaragua,68.2%,67.5%,67.5%,67.5%,67.5%,67.5%,67.5%,67.5%,67.5%,67.5%,67.5%,78.0%,78.0%,78.0%,78.0%
Tuvalu,55.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Anguilla,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
Turkmenistan,98.0%,98.0%,98.0%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,99.6%,99.6%,99.6%,99.6%
Macau,90.0%,94.5%,94.5%,94.5%,94.5%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,95.6%,95.6%,95.6%,95.6%
American Samoa,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
Niue,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
Antigua and Barbuda,89.0%,89.0%,89.0%,89.0%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,85.8%,99.0%,99.0%,99.0%,99.0%
China,81.5%,86.0%,90.9%,90.9%,90.9%,90.9%,90.9%,90.9%,91.6%,92.2%,92.2%,95.1%,95.1%,95.1%,95.1%
Ecuador,90.1%,92.5%,92.5%,92.5%,92.5%,91.0%,91.0%,91.0%,91.0%,91.0%,91.0%,91.6%,91.6%,91.6%,91.6%
Kenya,78.1%,85.1%,85.1%,85.1%,85.1%,85.1%,85.1%,85.1%,85.1%,85.1%,87.4%,87.4%,87.4%,87.4%,87.4%
Tonga,98.5%,98.5%,98.5%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,99.0%,99.0%,99.0%,99.0%
"Micronesia, Federated States of",89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%
Turkey,85.0%,86.5%,86.5%,86.5%,86.5%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,94.1%,94.1%,94.1%,94.1%
Indonesia,83.8%,88.5%,87.9%,87.9%,87.9%,90.4%,90.4%,90.4%,90.4%,90.4%,90.4%,92.8%,92.8%,92.8%,92.8%
Pakistan,42.7%,45.7%,45.7%,48.7%,48.7%,49.9%,49.9%,49.9%,49.9%,49.9%,54.9%,54.9%,54.9%,54.9%,54.9%
Zimbabwe,85.0%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,90.7%,83.6%,83.6%,83.6%,83.6%
"Congo, Republic of the",74.9%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%,83.8%
Belize,70.3%,94.1%,94.1%,94.1%,94.1%,76.9%,76.9%,76.9%,76.9%,76.9%,76.9%,76.9%,76.9%,76.9%,76.9%
Uruguay,97.3%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.1%,98.1%,98.1%,98.1%
Georgia,99.0%,99.0%,99.0%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,99.7%,99.7%,99.7%,99.7%,99.7%
Fiji,92.5%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%
Oman,NA,75.8%,75.8%,75.8%,75.8%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%,86.9%,86.9%,86.9%,86.9%
Wallis and Futuna,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%
Brazil,83.3%,86.4%,86.4%,86.4%,86.4%,88.6%,88.6%,88.6%,88.6%,88.6%,88.6%,90.4%,90.4%,90.4%,90.4%
Jamaica,85.0%,87.9%,87.9%,87.9%,87.9%,87.9%,87.9%,87.9%,87.9%,87.9%,87.9%,87.0%,87.0%,87.0%,87.0%
Palau,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%
Austria,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
India,52.0%,59.5%,59.5%,59.5%,59.5%,61.0%,61.0%,61.0%,61.0%,61.0%,61.0%,62.8%,62.8%,62.8%,62.8%
Guadeloupe,90.0%,90.0%,90.0%,90.0%,90.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mali,38.0%,46.4%,46.4%,46.4%,46.4%,46.4%,46.4%,46.4%,46.4%,46.4%,31.1%,33.4%,33.4%,33.4%,33.4%
Marshall Islands,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%,93.7%
Armenia,99.0%,98.6%,98.6%,98.6%,98.6%,99.4%,99.4%,99.4%,99.4%,99.4%,99.6%,99.6%,99.6%,99.6%,99.6%
Saint Helena,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,NA,NA,NA,NA,NA,NA,NA
Christmas Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Argentina,96.2%,97.1%,97.1%,97.1%,97.1%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.9%,97.9%,97.9%,97.9%
Cyprus,97.0%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,98.7%,98.7%,98.7%,98.7%
Hungary,99.0%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.0%,99.0%,99.0%,99.0%,99.0%
Hong Kong,92.2%,94.0%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
Colombia,91.3%,92.5%,92.5%,92.5%,92.5%,92.8%,92.8%,90.4%,90.4%,90.4%,90.4%,93.6%,93.6%,93.6%,93.6%
Mozambique,42.3%,47.8%,47.8%,47.8%,47.8%,47.8%,47.8%,47.8%,47.8%,47.8%,56.1%,56.1%,56.1%,56.1%,56.1%
Sierra Leone,31.4%,31.4%,31.4%,29.6%,29.6%,35.1%,35.1%,35.1%,35.1%,35.1%,35.1%,43.3%,43.3%,43.3%,43.3%
Northern Mariana Islands,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
Suriname,93.0%,93.0%,93.0%,88.0%,88.0%,89.6%,89.6%,89.6%,89.6%,89.6%,89.6%,94.7%,94.7%,94.7%,94.7%
French Polynesia,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
